# HTM
# based on http://www.htm.net/smartsite.dws?id=NAVIGATIE&kaarttype=0&halte_ids=1,2,3,4,...
# and google geocoding api administrative_area_level_2
company	ovcid	city             	name
3	30914	Den Haag              	Willem de Zwijgerlaan
3	30915	Den Haag              	Frederik Hendriklaan
3	30916	Den Haag              	Frederik Hendriklaan
3	30917	Den Haag              	Willem de Zwijgerlaan
3	30918	Den Haag              	Willem de Zwijgerlaan
3	30919	Den Haag              	World Forum
3	30920	Den Haag              	World Forum
3	30921	Den Haag              	World Forum
3	30922	Den Haag              	World Forum
3	30923	Den Haag              	Boreelstraat
3	30924	Den Haag              	Boreelstraat
3	30925	Den Haag              	Statenplein
3	30926	Den Haag              	Statenplein
3	30927	Den Haag              	Statenplein
3	30928	Den Haag              	Statenplein
3	30930	Den Haag              	Aert van der Goesstraat
3	30932	Den Haag              	Van Boetzelaerlaan
3	30934	Den Haag              	Doornstraat
3	30935	Den Haag              	Doornstraat
3	30936	Den Haag              	World Forum
3	30937	Den Haag              	World Forum
3	30938	Den Haag              	Johan de Wittlaan
3	30939	Den Haag              	Johan de Wittlaan
3	30940	Den Haag              	Van Boetzelaerlaan
3	30941	Den Haag              	Frankenslag
3	30942	Den Haag              	Frankenslag
3	30943	Den Haag              	Van Boetzelaerlaan
3	30944	Den Haag              	Van Boetzelaerlaan
3	31001	Den Haag              	Adriaan Goekooplaan
3	31002	Den Haag              	Adriaan Goekooplaan
3	31101	Den Haag              	Houtrust
3	31102	Den Haag              	Houtrust
3	31103	Den Haag              	Cornelis de Wittlaan
3	31104	Den Haag              	Gemeentemuseum/Museon
3	31105	Den Haag              	Gemeentemuseum/Museon
3	31106	Den Haag              	Gemeentemuseum/Museon
3	31107	Den Haag              	Gemeentemuseum/Museon
3	31108	Den Haag              	Groot Hertoginnelaan
3	31109	Den Haag              	Groot Hertoginnelaan
3	31110	Den Haag              	Conradkade
3	31111	Den Haag              	Conradkade
3	31112	Den Haag              	Valeriusstraat
3	31113	Den Haag              	Valeriusstraat
3	31114	Den Haag              	Groot Hertoginnelaan
3	31115	Den Haag              	Groot Hertoginnelaan
3	31116	Den Haag              	Groot Hertoginnelaan
3	31117	Den Haag              	Banstraat
3	31118	Den Haag              	Banstraat
3	31119	Den Haag              	Conradkade
3	31120	Den Haag              	Conradkade
3	31121	Den Haag              	Van Speijkstraat
3	31122	Den Haag              	Van Speijkstraat
3	31123	Den Haag              	Laan van Meerdervoort
3	31124	Den Haag              	Laan van Meerdervoort
3	31125	Den Haag              	Cornelis de Wittlaan
3	31126	Den Haag              	Waldeck Pyrmontkade
3	31127	Den Haag              	Waldeck Pyrmontkade
3	31128	Den Haag              	Conradkade
3	31129	Den Haag              	Conradkade
3	31201	Den Haag              	Kwartellaan
3	31202	Den Haag              	Kwartellaan
3	31203	Den Haag              	Nieboerweg
3	31204	Den Haag              	Nieboerweg
3	31205	Den Haag              	Sportlaan
3	31206	Den Haag              	Sportlaan
3	31207	Den Haag              	Haga Ziekenhuis
3	31208	Den Haag              	Haga Ziekenhuis
3	31209	Den Haag              	Houtrustweg
3	31210	Den Haag              	Houtrustweg
3	31211	Den Haag              	Goudenregenplein
